Horizon started successfully.
[2021-03-24 08:30:23][20698] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20698] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20703] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20703] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20735] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20735] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20739] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20739] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20747] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20750] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20759] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20759] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20794] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:24][20794] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:24][20795] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20602] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20752] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20752] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20770] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:24][20770] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:24][20769] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20769] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20792] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20745] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20763] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20751] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20766] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20766] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20776] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20776] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20797] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20749] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20760] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20760] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20773] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20773] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20798] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20748] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20764] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20764] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20772] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20747] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20765] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20765] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20774] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:24][20774] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:24][20777] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20777] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20799] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20795] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20801] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:25][20801] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:25][20802] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:25][20802] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:25][20804] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:25][20804] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:25][20805] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:25][20805] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:25][20806] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20806] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20792] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20807] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20807] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20816] Processing: App\Jobs\SwSyncSourceImageTempJob
